depreg,mupreg,mesreg,añoreg,diaocu,mesocu,añoocu,depocu,mupocu,edadhom,edadmuj,grethom,gretmuj,nachom,nacmuj,escohom,escomuj,ocupahom,ocupamuj
10,1001,1,2012,15,11,2011,10,1001,999,999,9,9,320,320,9,9,9712,2341
10,1001,11,2011,3,11,2011,10,1001,999,999,9,9,320,320,9,9,9712,2341
21,2101,6,2011,1,6,2011,21,2101,999,999,9,9,320,320,9,9,9712,2341
21,2101,6,2011,20,6,2011,21,2101,999,999,9,9,320,320,9,9,9712,2341
21,2101,9,2011,8,7,2011,21,2101,999,999,9,9,320,320,9,9,9712,2341
1,0103,4,2011,25,2,2011,1,0101,999,999,9,9,320,320,9,9,9712,2341
1,0101,4,2011,5,4,2011,1,0101,999,999,2,2,320,320,9,1,9712,2341
5,0501,1,2012,9,11,2011,5,0501,999,25,9,9,320,320,9,4,9712,2341
10,1013,5,2011,14,2,2011,10,1013,29,27,2,2,320,320,4,4,9712,2341
5,0502,2,2012,14,11,2011,5,0502,23,22,2,2,320,320,9,4,9712,2341
10,1008,11,2011,6,10,2011,10,1001,28,25,9,9,320,320,9,9,9712,2341
20,2003,5,2011,8,3,2011,20,2003,48,45,9,2,320,320,9,4,9999,2341
5,0509,2,2012,21,11,2011,19,1901,999,31,9,2,320,320,9,4,9999,2341
22,2207,11,2011,4,10,2011,22,2201,57,46,2,2,320,320,4,4,9713,2341
18,1803,5,2011,28,1,2011,18,1801,24,23,2,2,320,320,4,4,2341,2341
4,0407,7,2011,25,4,2011,4,0407,44,45,1,1,320,320,4,4,2341,2341
21,2101,4,2012,15,2,2011,21,2101,999,999,9,9,320,320,9,9,2341,2341
14,1416,4,2011,23,2,2011,14,1413,48,43,2,2,320,320,4,4,2341,2341
21,2101,3,2011,19,1,2011,21,2101,999,999,9,9,320,320,9,9,2341,2341
21,2101,8,2011,6,5,2011,21,2101,999,999,9,9,320,320,9,9,2341,2341
19,1910,11,2011,11,10,2011,19,1901,25,24,2,2,320,320,4,4,2341,2341
21,2104,3,2011,10,2,2011,21,2101,46,44,2,2,320,320,4,4,2341,2341
22,2205,4,2011,23,3,2011,22,2205,999,50,9,2,320,320,9,4,9999,2341
6,0611,11,2011,29,9,2011,6,0601,999,46,9,2,320,320,9,5,9999,2341
12,1201,5,2011,14,3,2011,12,1201,999,30,9,2,320,320,9,5,9999,2341
19,1901,4,2011,5,4,2011,19,1901,999,999,9,9,320,320,9,9,4131,2341
16,1601,2,2012,30,9,2011,16,1601,999,54,2,2,320,320,9,1,3142,2341
1,0101,3,2011,21,1,2011,1,0101,999,999,9,9,320,320,9,9,4311,2341
10,1002,12,2011,25,1,2011,10,1001,54,999,2,9,320,320,4,9,4311,2341
7,0712,1,2012,9,9,2011,7,0712,37,35,1,1,320,320,4,2,4311,2341
18,1805,11,2011,19,10,2011,18,1801,999,999,9,9,320,320,9,9,3212,2341
21,2101,2,2011,1,2,2011,21,2101,999,999,9,9,320,320,9,9,9712,2341
1,0116,5,2012,6,10,2011,1,0116,999,999,9,9,320,320,9,9,9712,2341
13,1302,2,2012,26,8,2011,13,1317,999,999,9,9,320,320,9,9,9712,2341
1,0101,9,2011,12,7,2011,3,0301,55,52,9,9,320,320,9,9,2656,2341
21,2101,5,2011,27,4,2011,21,2101,999,999,9,9,320,320,9,9,2341,2341
21,2101,8,2011,13,7,2011,21,2101,999,999,9,9,320,320,9,9,2341,2341
21,2101,2,2011,11,1,2011,21,2101,999,999,2,9,320,320,9,9,2341,2341
1,0101,12,2011,10,10,2011,1,0101,30,34,2,9,320,320,3,1,8322,2341
1,0101,1,2012,18,10,2011,1,0101,999,999,9,9,320,320,9,9,4311,2342
1,0101,11,2011,29,9,2011,1,0101,999,999,9,9,320,320,9,1,5249,2342
1,0101,8,2011,11,7,2011,1,0114,999,31,9,2,320,320,9,4,9999,2342
1,0101,11,2011,5,9,2011,1,0101,29,27,2,2,320,320,4,4,9712,2342
1,0114,9,2011,15,7,2011,1,0114,38,22,2,2,320,320,4,4,9111,2342
1,0101,11,2011,27,9,2011,1,0108,999,999,9,9,320,320,9,1,9712,2341
1,0101,6,2011,30,3,2011,1,0101,999,999,9,9,320,320,9,9,4311,2341
1,0101,10,2011,9,8,2011,1,0101,28,24,2,2,320,320,9,9,9712,2341
1,0101,3,2012,8,7,2011,1,0101,999,999,9,9,320,320,9,9,2511,2341
1,0101,1,2012,8,12,2011,1,0101,999,999,9,9,320,320,9,9,3513,2341
16,1601,5,2011,15,3,2011,16,1601,32,30,1,1,320,320,9,9,5221,2341
6,0601,12,2011,18,8,2011,6,0601,999,999,9,9,320,320,9,9,6111,2341
12,1228,12,2011,8,3,2011,9,0901,26,22,2,2,320,320,4,5,7115,2341
21,2101,10,2011,19,9,2011,21,2101,45,48,2,2,320,320,9,4,9712,2341
10,1001,1,2012,21,11,2011,10,1001,999,999,9,9,320,320,9,9,4311,2341
10,1001,9,2011,8,9,2011,10,1002,32,25,9,9,320,320,1,1,2341,2342
6,0604,9,2011,21,7,2011,6,0604,36,999,2,2,320,320,2,4,8322,2342
5,0502,8,2011,20,5,2011,5,0502,33,30,2,2,320,320,5,5,3513,2341
13,1310,9,2011,25,8,2011,13,1301,27,23,1,9,320,320,1,1,9712,2341
1,0101,2,2012,5,12,2011,1,0101,34,30,2,9,320,320,5,1,2151,2341
17,1704,8,2011,27,7,2011,17,1703,33,31,2,2,320,320,4,4,2359,2341
16,1610,6,2011,16,2,2011,16,1601,36,23,2,2,320,320,4,4,2341,2341
8,0806,10,2011,2,8,2011,8,0801,25,25,1,1,320,320,4,4,2341,2341
8,0801,3,2011,23,2,2011,8,0801,27,25,1,1,320,320,4,4,2341,2341
21,2103,3,2012,1,7,2011,21,2103,999,999,9,9,320,320,9,9,4131,2341
8,0801,5,2011,15,4,2011,8,0801,999,999,9,9,320,320,4,4,2341,2341
1,0101,11,2011,17,6,2011,1,0101,999,999,9,9,320,320,9,9,9712,4131
1,0101,5,2011,1,4,2011,1,0101,999,999,9,9,320,320,9,9,7231,4131
9,0901,3,2011,14,1,2011,9,0901,51,64,2,2,320,320,9,9,4131,4131
5,0507,6,2011,4,6,2011,1,0101,999,999,9,9,320,320,1,9,2411,2211
13,1301,10,2011,14,9,2011,13,1301,999,999,9,9,320,320,9,9,2211,2211
