ANO_EMISION,MES_EMISION,DIA_EMISION,DEPTO_MCPIO,QUIEN_REPORTA,VIC_SEXO,VIC_EDAD,TOTAL_HIJOS,NUM_HIJ_HOM,NUM_HIJ_MUJ,VIC_ALFAB,VIC_ESCOLARIDAD,VIC_EST_CIV,VIC_GRUPET,VIC_NACIONAL,VIC_TRABAJA,VIC_OCUP,VIC_DEDICA,VIC_DISC,TIPO_DISCAQ,VIC_REL_AGR,OTRAS_VICTIMAS,VIC_OTRAS_HOM,VIC_OTRAS_MUJ,VIC_OTRAS_N_OS,VIC_OTRAS_N_AS,HEC_DIA,HEC_MES,HEC_ANO,HEC_DEPTOMCPIO,HEC_AREA,HEC_TIPAGRE,HEC_RECUR_DENUN,INST_DONDE_DENUNCIO,AGR_SEXO,AGR_EDAD,AGR_ALFAB,AGR_ESCOLARIDAD,AGR_EST_CIV,AGR_GRUPET,AGR_NACIONAL,AGR_TRABAJA,AGR_OCUP,AGR_DEDICA,INST_DENUN_HECHO,MEDIDAS_SEGURIDAD,LEY_APLICABLE
2011,1,21,101,1,2,37,3,2,1,1,39,2,1,9,1,9999, ,2, ,1,99,99,99,99,99,21,1,2011,101,1,1121,2, ,1,37,1,49,2,1,1,2, ,9,4,1,1
2011,1,21,101,1,2,44,2,1,1,1,29,1,1,9,1,9999, ,9, ,2,3,0,1,1,1,21,1,2011,101,1,1122,1,9,1,49,1,29,1,1,1,2, ,9,4,1,1
2011,1,24,101,1,2,31,4,4,0,1,39,1,9,1,1,9999, ,9, ,10,5,0,1,4,0,24,1,2011,101,1,1121,9, ,1,42,1,39,1,1,1,1,9999, ,4,1,1
2011,1,25,101,1,2,31,3,2,1,1,49,1,1,9,2, ,9,2, ,3,4,0,1,2,1,25,1,2011,101,9,1121,2, ,1,27,1,49,1,1,1,1,9999, ,4,1,1
2011,1,25,101,1,2,25,2,1,1,1,49,2,1,1,1,9999, ,9, ,1,3,0,1,1,1,25,1,2011,101,1,1121,2, ,1,26,1,49,2,1,1,1,9999, ,4,1,1
2011,1,25,101,1,2,29,1,1,0,1,59,1,1,9,1,9999, ,9, ,3,2,0,1,1,0,25,1,2011,101,1,1121,9, ,1,26,1,59,1,1,1,1,9999, ,4,1,1
2011,1,26,101,1,2,36,4,2,2,2,10,1,1,9,1,9999, ,9, ,3,5,0,1,2,2,26,1,2011,101,9,1222,9, ,1,31,2,10,9,1,1,1,9999, ,4,1,1
2011,1,26,101,1,2,38,3,1,2,1,39,2,1,9,2, ,9,2, ,1,4,0,1,1,2,23,1,2011,101,1,1121,2, ,1,45,1,29,2,1,1,1,9999, ,4,1,1
2011,1,26,101,1,2,29,99,99,99,1,49,2,1,9,1,9999, ,9, ,1,1,0,1,0,0,26,1,2011,101,1,1121,9, ,1,31,1,59,2,1,1,1,9999, ,4,1,1
2011,1,27,101,1,2,35,1,0,1,1,49,2,1,9,2, ,1,2, ,9,99,99,99,99,99,25,1,2011,101,1,1121,9, ,1,45,1,49,1,1,1,2, ,9,4,1,1
2011,1,27,101,1,2,31,1,1,0,1,49,1,1,9,1,9999, ,2, ,3,2,0,1,1,0,27,1,2011,101,1,1121,1,4,1,34,1,49,1,1,1,9, , ,4,1,1
2011,1,27,101,1,2,47,5,2,3,1,49,2,1,1,1,9999, ,2, ,1,99,99,99,99,99,27,1,2011,101,1,1121,9, ,1,52,1,49,2,1,1,1,9999, ,4,1,1
2011,1,28,101,1,2,31,2,2,0,1,49,2,1,9,1,9999, ,9, ,1,3,0,1,2,0,28,1,2011,101,1,1121,9, ,1,45,1,29,2,1,1,1,9999, ,4,1,1
2011,1,28,101,1,2,32,5,4,1,1,39,1,1,1,1,9999, ,2, ,3,6,0,1,4,1,28,1,2011,101,1,1122,9, ,1,30,1,49,1,1,9,1,9999, ,4,1,1
2011,1,31,101,1,2,38,3,0,3,1,49,2,1,9,2, ,9,2, ,1,4,0,1,0,3,31,1,2011,101,1,1121,1,9,1,40,1,49,2,1,1,1,9999, ,4,1,1
2011,1,31,101,1,2,32,1,0,1,1,39,2,1,9,2, ,9,2, ,1,2,0,1,0,1,31,1,2011,101,1,1121,2, ,1,31,1,29,2,1,9,1,9999, ,4,1,1
2011,1,31,101,1,1,29,99,99,99,1,49,1,1,9,2, ,9,9, ,9,1,1,0,0,0,31,1,2011,101,1,1121,9, ,2,25,1,99,1,1,9,1,9999, ,4,1,1
2011,1,25,101,1,2,21,99,99,99,1,33,1,1,1,2, ,1,9, ,2,99,99,99,99,99,17,1,2011,101,9,1222,2, ,1,18,1,39,1,1,1,1,5122, ,4,1,1
