ANO_EMISION,MES_EMISION,DIA_EMISION,DEPTO_MCPIO,QUIEN_REPORTA,VIC_SEXO,VIC_EDAD,TOTAL_HIJOS,NUM_HIJ_HOM,NUM_HIJ_MUJ,VIC_ALFAB,VIC_ESCOLARIDAD,VIC_EST_CIV,VIC_GRUPET,VIC_NACIONAL,VIC_TRABAJA,VIC_OCUP,VIC_DEDICA,VIC_DISC,TIPO_DISCAQ,VIC_REL_AGR,OTRAS_VICTIMAS,VIC_OTRAS_HOM,VIC_OTRAS_MUJ,VIC_OTRAS_N_OS,VIC_OTRAS_N_AS,HEC_DIA,HEC_MES,HEC_ANO,HEC_DEPTOMCPIO,HEC_AREA,HEC_TIPAGRE,HEC_RECUR_DENUN,INST_DONDE_DENUNCIO,AGR_SEXO,AGR_EDAD,AGR_ALFAB,AGR_ESCOLARIDAD,AGR_EST_CIV,AGR_GURPET,AGR_NACIONAL,AGR_TRABAJA,AGR_OCUP,AGR_DEDICA,INST_DENUN_HECHO,MEDIDAS_SEGURIDAD
2009,12,23,1018,2,1,2, , , , , , ,1,1, , , ,2, ,4,0,0,0,0,0,22,12,2009,1018,2,1122,2, ,2,22,1,29,2,1,1,2, ,1,4,1
2009,12,3,1101,2,2,1, , , , , , ,1,1, , , ,2, ,4,0,0,0,0,0,19,11,2009,1101,1,1122,2, ,2,20,1,26,1,1,1,2, ,1,6, 
2009,12,13,1601,1,1,11, , , ,1,24, ,2,1,2, ,3,2, ,10,0,0,0,0,0,13,12,2009,1601,1,1122,2, ,1,59,1,26,2,1,1,2, ,9,3, 
2009,12,28,2101,2,2,10, , , ,1,23, ,1,1,2, ,3,2, ,4,0,0,0,0,0,28,12,2009,2103,1,1222,2, ,2,29,1,32,4,1,1,1,9131, ,3, 
2009,1,2,101,1,2,48,0,0,0,1,29,2,1,1,1,5141, ,2, ,1,0,0,0,0,0,2,1,2009,101,1,1222,2, ,1,57,1,99,2,1,1,1,8251, ,6, 
2009,1,13,101,1,2,48,0,0,0,1,29,2,9,1,1,9131, ,2, ,6,99,99,99,99,99,13,1,2009,101,9,1122,2, ,1,27,1,29,3,1,1,1,5141, ,4,1
2009,1,20,101,1,2,69,0,0,0,1,10,2,1,1,1,9131, ,2, ,10,99,99,99,99,99,20,1,2009,101,1,1122,1,4,2,42,1,39,2,1,1,2, ,1,4,1
2009,1,13,101,1,1,91,0,0,0,1,29,1,1,1,2, ,2,9, ,1,99,99,99,99,99,13,1,2009,101,1,1122,2, ,2,48,1,29,2,1,1,1,5220, ,4,1
2009,1,20,101,1,2,32,0,0,0,1,39,2,1,1,1,5220, ,2, ,1,99,99,99,99,99,20,1,2009,101,1,1122,1,4,1,44,1,29,2,1,1,1,8322, ,4,1
2009,1,26,101,1,2,25,0,0,0,1,29,1,1,1,1,9131, ,2, ,3,99,99,99,99,99,25,1,2009,101,1,1121,2, ,1,99,1,99,1,1,1,1,8322, ,1, 
