DEPARTAMENTO,ANIO,EDAD_HOMBRE,EDAD_MUJER,ESCOLARIDAD_HOMBRE,ESCOLARIDAD_MUJER,TOTAL_DIVORCIOS,EDAD_VICTIMA,EDAD_AGRESOR,ESCOLARIDAD_VICTIMA,ESCOLARIDAD_AGRESOR,OCUPACION_VICTIMA,OCUPACION_AGRESOR,TIPO_MEDIDA_MAS_FREC,INST_DENUNCIA,TOTAL_VIF
15,2016,35.75,30.6,4.0,1.0,80,33.03887399463807,50.22654155495979,10.0,10.0,2341.0,6111.0,IJ,4,746
15,2017,,,,,0,33.051968503937005,38.20944881889764,10.0,10.0,5249.0,6111.0,IJ,3,635
15,2018,,,,,0,33.17560073937153,37.18853974121996,10.0,26.0,6111.0,6111.0,IJ,4,541
16,2009,,,,,0,32.76635514018692,41.75799311362518,10.0,10.0,5220.0,9211.0,,4,2033
16,2010,31.73076923076923,30.88,,,94,32.3468161794153,43.57989587505006,10.0,10.0,5220.0,9211.0,,4,2497
16,2011,34.52857142857143,30.238805970149254,,,167,32.39847328244275,43.323282442748095,10.0,10.0,9131.0,9211.0,IJ,4,2620
16,2012,38.191489361702125,32.71649484536083,1.0,1.0,389,32.00902643455835,42.05899419729207,10.0,10.0,9111.0,9211.0,IJ,4,3102
16,2013,35.096774193548384,30.612903225806452,1.0,1.0,180,31.79182937819165,40.91829378191649,10.0,10.0,5249.0,9211.0,IJ,4,3329
16,2014,,,,,0,31.92543859649123,41.412593984962406,10.0,10.0,5249.0,9211.0,IJ,4,3192
16,2015,35.11666666666667,31.68421052631579,4.0,4.0,344,31.06089193825043,36.94739851343625,10.0,10.0,5249.0,9211.0,IJ,4,3498
16,2016,35.17142857142857,32.416666666666664,4.0,4.0,212,32.92898052691867,36.664089347079035,10.0,10.0,5249.0,9211.0,IJ,4,3492
16,2017,,,,,0,32.92510073477127,35.91704195306945,10.0,10.0,5249.0,9211.0,IJ,4,4219
16,2018,,,,,0,32.9517313746065,36.410020986358866,10.0,10.0,5249.0,9211.0,IJ,3,3812
17,2009,,,,,0,33.057180851063826,39.389627659574465,10.0,10.0,9131.0,9211.0,,4,752
17,2010,37.54545454545455,31.11111111111111,,,70,32.32292787944026,38.702906350914965,10.0,10.0,9131.0,9211.0,,4,929
17,2011,35.55,31.130434782608695,,,94,32.153703703703705,36.31388888888889,10.0,10.0,9131.0,6111.0,,4,1080
17,2012,35.285714285714285,29.233009708737864,1.0,4.0,328,31.58076923076923,34.824038461538464,10.0,10.0,5249.0,6111.0,,4,1040
17,2013,37.38461538461539,27.727272727272727,4.0,4.0,108,31.054377880184333,34.30875576036866,10.0,10.0,2341.0,6111.0,Z,4,1085
17,2014,,,,,0,30.792645556690502,34.88253319713994,10.0,10.0,5249.0,6111.0,Z,4,979
17,2015,34.075471698113205,30.333333333333332,4.0,4.0,460,30.546948356807512,34.4773082942097,10.0,10.0,5249.0,6111.0,Z,3,1278
17,2016,36.95238095238095,34.04761904761905,4.0,4.0,176,30.96941176470588,34.49333333333333,46.0,26.0,5249.0,6111.0,IJ,4,1275
17,2017,,,,,0,31.83565459610028,35.13184772516249,26.0,26.0,5249.0,6111.0,IJ,4,1077
17,2018,,,,,0,32.14866581956798,35.442185514612454,46.0,46.0,5249.0,6111.0,IJ,4,787
18,2009,,,,,0,31.946581196581196,35.01602564102564,26.0,26.0,9131.0,9211.0,,4,936
18,2010,35.8,30.375,,,103,31.792616720955483,37.65255157437568,29.0,29.0,9131.0,9211.0,,3,921
18,2011,35.54545454545455,32.68181818181818,,,133,32.66626506024097,40.55180722891566,10.0,26.0,9131.0,9211.0,,4,830
18,2012,36.7,30.98936170212766,4.0,4.0,603,31.705563093622796,34.74762550881954,26.0,26.0,9111.0,9211.0,,4,737
18,2013,34.2,31.88888888888889,4.0,4.0,72,30.625307125307124,33.4987714987715,26.0,26.0,5249.0,6111.0,IJ,3,814
18,2014,,,,,0,32.08108108108108,33.74474474474474,26.0,26.0,5249.0,6111.0,IJ,3,666
